NOC,Year,Total_Medals,Age,Height,Weight,ID,Prev_Medals
BEL,1924,13,28.363636,177.46373,75.08596,13,42.0
BEL,1928,3,26.952547,177.46373,75.08596,3,13.0
BEL,1932,1,24.0,177.46373,75.08596,1,3.0
BEL,1936,3,43.666668,177.46373,75.08596,3,1.0
BEL,1948,7,24.714285,173.0,61.0,7,3.0
BEL,1952,4,19.75,177.46373,75.08596,4,7.0
BEL,1956,2,23.0,179.0,76.0,2,4.0
BEL,1960,4,24.75,182.0,79.0,4,2.0
BEL,1964,3,22.666666,175.0,72.0,3,4.0
BEL,1968,2,23.0,179.0,109.0,2,3.0
BEL,1972,2,23.5,171.5,65.0,2,2.0
BEL,1976,6,24.666666,182.16667,74.166664,6,2.0
BEL,1980,1,26.0,187.0,95.0,1,6.0
BEL,1984,4,19.75,174.75,72.0,4,1.0
BEL,1988,2,33.0,183.5,90.5,2,4.0
BEL,1992,3,24.333334,176.66667,76.333336,3,2.0
BEL,1996,6,24.166666,177.83333,77.333336,6,3.0
BEL,2000,5,29.6,170.8,61.8,5,6.0
BEL,2004,3,27.0,173.0,64.333336,3,5.0
BEL,2008,2,26.0,177.0,59.5,2,3.0
BEL,2012,3,26.0,171.33333,64.0,3,2.0
BEL,2016,6,27.0,183.33333,74.666664,6,3.0
BER,1976,1,25.0,187.0,90.0,1,0.0
BLR,1996,15,25.4,179.57143,86.92857,15,0.0
BLR,2000,17,29.058823,176.64706,81.617645,17,15.0
BLR,2004,13,26.0,178.15384,79.76923,13,17.0
BLR,2008,18,26.166666,179.55556,84.166664,18,13.0
BLR,2012,12,26.333334,176.33333,70.63636,12,18.0
BLR,2016,9,27.11111,174.0,85.0,9,12.0
BOH,1900,3,30.666666,175.70476,72.63659,3,0.0
BOH,1906,2,18.0,175.70476,72.63659,2,3.0
BOH,1908,2,38.0,175.70476,72.63659,2,2.0
BOT,2012,1,18.0,179.0,60.0,1,0.0
BRA,1920,3,33.333332,178.0,77.92249,3,0.0
BRA,1948,1,23.0,183.0,77.0,1,3.0
BRA,1952,3,21.666666,182.0,71.5,3,1.0
BRA,1956,1,29.0,178.0,69.0,1,3.0
BRA,1960,2,28.0,183.5,77.0,2,1.0
BRA,1964,1,28.0,190.0,90.0,1,2.0
BRA,1968,3,23.333334,173.66667,66.666664,3,1.0
BRA,1972,2,29.0,181.0,82.0,2,3.0
BRA,1976,2,28.0,182.5,77.0,2,2.0
BRA,1980,4,25.25,182.25,72.75,4,2.0
BRA,1984,8,23.75,177.875,76.875,8,4.0
BRA,1988,6,27.833334,182.5,77.0,6,8.0
BRA,1992,3,25.333334,200.5,92.5,3,6.0
BRA,1996,15,26.933332,185.35715,80.5,15,3.0
BRA,2000,12,28.75,184.58333,81.583336,12,15.0
BRA,2004,10,30.3,180.9,77.3,10,12.0
BRA,2008,16,26.875,181.8125,78.4375,16,10.0
BRA,2012,17,25.411764,179.05882,78.17647,17,16.0
BRA,2016,19,26.0,176.57895,77.31579,19,17.0
BRN,2012,1,27.0,170.0,61.0,1,0.0
BRN,2016,2,25.5,158.5,50.0,2,1.0
BUL,1952,1,23.0,172.00275,72.76828,1,0.0
BUL,1956,5,28.6,175.0,79.0,5,1.0
BUL,1960,7,24.857143,169.85715,68.0,7,5.0
BUL,1964,10,28.0,173.2,79.888885,10,7.0
BUL,1968,9,26.555555,173.44444,77.0,9,10.0
BUL,1972,21,24.857143,169.7619,74.14286,21,9.0
BUL,1976,22,25.227272,171.90909,76.045456,22,21.0
BUL,1980,41,24.146341,174.04878,76.731705,41,22.0
BUL,1988,35,23.8,170.4,68.51428,35,41.0
BUL,1992,16,25.8125,172.125,75.0625,16,35.0
BUL,1996,15,26.2,169.26666,65.2,15,16.0
BUL,2000,13,25.846153,173.46153,74.53846,13,15.0
BUL,2004,12,27.416666,174.16667,72.5,12,13.0
BUL,2008,5,26.2,170.4,70.4,5,12.0
BUL,2012,2,29.0,176.0,81.5,2,5.0
BUL,2016,3,24.0,167.0,53.0,3,2.0
CAN,1900,2,27.0,169.0,65.0,2,0.0
CAN,1904,6,30.5,185.0,94.0,6,2.0
CAN,1906,2,28.0,166.0,54.0,2,6.0
CAN,1908,16,27.266666,175.33333,72.888885,16,2.0
CAN,1912,8,24.875,180.5,72.0,8,16.0
CAN,1920,9,21.625,165.8,81.75,9,8.0
CAN,1924,4,34.5,179.5,66.0,4,9.0
CAN,1928,15,21.733334,172.77777,62.22222,15,4.0
CAN,1932,16,26.933332,173.2,62.4,16,15.0
CAN,1936,9,24.88889,177.25,68.75,9,16.0
CAN,1948,4,28.0,176.30972,72.39405,4,9.0
CAN,1952,3,25.333334,176.30972,75.0,3,4.0
CAN,1956,6,23.333334,171.4,73.6,6,3.0
CAN,1960,1,23.0,190.0,86.0,1,6.0
CAN,1964,4,22.5,187.0,88.75,4,1.0
CAN,1968,5,18.8,170.0,69.0,5,4.0
CAN,1972,5,20.2,180.4,70.0,5,5.0
CAN,1976,11,18.0,175.27272,63.727272,11,5.0
CAN,1984,44,23.25,179.09091,75.22727,44,11.0
CAN,1988,10,24.7,177.4,72.5,10,44.0
CAN,1992,18,25.38889,181.27777,80.388885,18,10.0
CAN,1996,22,26.59091,179.81818,74.72727,22,18.0
CAN,2000,14,24.357143,175.21428,72.92857,14,22.0
CAN,2004,12,27.083334,171.58333,71.083336,12,14.0
CAN,2008,19,28.947369,176.26315,73.710526,19,12.0
CAN,2012,18,26.222221,175.88889,72.0,18,19.0
CAN,2016,22,25.318182,172.77272,64.59091,22,18.0
CHI,1928,1,28.0,171.0,61.0,1,0.0
CHI,1952,2,36.0,177.66667,73.97222,2,1.0
CHI,1956,4,23.5,172.0,72.5,4,2.0
CHI,1988,1,31.0,186.0,85.0,1,4.0
CHI,2000,1,20.0,173.0,62.0,1,1.0
CHI,2004,3,24.666666,182.0,81.333336,3,1.0
CHI,2008,1,28.0,182.0,82.0,1,3.0
CHN,1984,32,21.6875,165.15625,60.0,32,0.0
CHN,1988,28,21.107143,167.71428,62.535713,28,32.0
CHN,1992,53,22.150944,165.33333,60.35849,53,28.0
CHN,1996,50,23.18,166.94,62.97,50,53.0
CHN,2000,58,22.551723,166.86208,61.439655,58,50.0
CHN,2004,63,23.650793,169.49207,65.36508,63,58.0
CHN,2008,100,23.59,169.85,63.74,100,63.0
CHN,2012,88,23.704546,170.81818,65.079544,88,100.0
CHN,2016,70,25.014286,171.84285,66.2,70,88.0
CIV,1984,1,20.0,180.0,75.0,1,0.0
CIV,2016,2,22.0,181.0,72.5,2,1.0
CMR,1968,1,27.0,165.0,67.0,1,0.0
CMR,1984,1,18.0,165.0,64.0,1,1.0
CMR,2000,1,22.0,185.0,82.0,1,1.0
CMR,2004,1,28.0,172.0,63.0,1,1.0
CMR,2008,1,32.0,172.0,63.0,1,1.0
COL,1900,1,30.0,170.41667,63.06482,1,0.0
COL,1972,3,21.666666,169.0,64.333336,3,1.0
COL,1984,1,35.0,178.0,78.0,1,3.0
COL,1988,1,19.0,169.0,54.0,1,1.0
COL,1992,1,23.0,175.0,58.0,1,1.0
COL,2000,1,35.0,170.0,78.0,1,1.0
COL,2004,2,35.0,167.0,52.0,2,1.0
COL,2008,2,24.5,165.0,60.0,2,2.0
COL,2012,8,24.625,172.5,63.25,8,2.0
COL,2016,8,26.625,168.25,60.0,8,8.0
CRC,1988,1,17.0,192.0,75.0,1,0.0
CRC,1996,1,23.0,191.0,76.0,1,1.0
CRC,2000,2,27.0,191.0,76.0,2,1.0
CRO,1992,3,21.666666,192.66667,79.0,3,0.0
CRO,1996,2,27.5,200.5,93.0,2,3.0
CRO,2000,2,29.5,178.5,81.5,2,2.0
CRO,2004,5,25.2,189.8,87.6,5,2.0
CRO,2008,5,23.0,176.2,67.2,5,5.0
CRO,2012,6,27.333334,186.0,88.166664,6,5.0
CRO,2016,10,27.5,186.1,83.8,10,6.0
CUB,1900,2,16.0,173.77344,71.83782,2,0.0
CUB,1904,4,25.0,173.77344,71.83782,4,2.0
CUB,1948,1,44.0,173.77344,71.83782,1,4.0
CUB,1964,1,26.0,167.0,67.0,1,1.0
CUB,1968,4,24.0,172.0,65.25,4,1.0
CUB,1972,8,20.625,175.0,70.125,8,4.0
CUB,1976,13,22.692308,180.38461,71.84615,13,8.0
CUB,1980,20,23.85,173.05,69.9,20,13.0
CUB,1992,31,23.64516,172.86667,73.96667,31,20.0
CUB,1996,25,25.28,173.08,71.64,25,31.0
CUB,2000,29,26.137932,175.17241,72.793106,29,25.0
CUB,2004,27,26.296297,170.96297,71.14815,27,29.0
CUB,2008,24,23.958334,174.375,74.125,24,27.0
CUB,2012,14,24.785715,174.57143,75.71429,14,24.0
CUB,2016,11,25.09091,176.81818,78.545456,11,14.0
CYP,2012,1,22.0,183.0,82.0,1,0.0
CZE,1996,11,25.90909,179.45454,73.72727,11,0.0
CZE,2000,8,28.375,177.125,75.5,8,11.0
CZE,2004,9,24.11111,179.44444,76.0,9,8.0
CZE,2008,6,26.833334,179.0,77.0,6,9.0
CZE,2012,10,26.4,182.2,78.6,10,6.0
CZE,2016,10,27.9,188.0,87.3,10,10.0
DEN,1896,6,25.0,178.0923,77.28494,6,0.0
DEN,1900,7,28.571428,178.0923,77.28494,7,6.0
DEN,1906,6,24.5,178.0923,77.28494,6,7.0
DEN,1908,5,25.2,178.0923,77.5,5,6.0
DEN,1912,12,28.083334,170.0,77.28494,12,5.0
DEN,1920,13,26.923077,178.0923,77.28494,13,12.0
DEN,1924,11,31.727272,168.0,77.28494,11,13.0
DEN,1928,9,28.555555,170.0,77.28494,9,11.0
DEN,1932,8,28.0,170.25,77.28494,8,9.0
DEN,1936,5,21.6,178.0923,77.28494,5,8.0
DEN,1948,22,27.318182,172.0,70.5,22,5.0
DEN,1952,6,26.666666,182.0,85.0,6,22.0
DEN,1956,4,28.0,182.0,85.0,4,6.0
DEN,1960,6,28.666666,176.66667,75.833336,6,4.0
DEN,1964,6,27.833334,180.33333,77.666664,6,6.0
DEN,1968,8,26.625,180.0,74.875,8,6.0
DEN,1972,1,25.0,176.0,75.0,1,8.0
